city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Zhuzhou,27.8407,113.1469,China,CN,Hunan,minor,3855609,3855609
Wuhu,31.3340,118.3622,China,CN,Anhui,minor,3842100,3842100
Hechi,23.0965,109.6091,China,CN,Guangxi,,3830000,2720379
Loudi,27.7378,111.9974,China,CN,Hunan,,3785627,3785627
Binzhou,37.3806,118.0125,China,CN,Shandong,,3779200,3779200
Liuzhou,24.3181,109.4069,China,CN,Guangxi,minor,3758704,3758704
Baojishi,34.3609,107.1751,China,CN,Shaanxi,,3738700,3738700
Guang’an,30.4673,106.6336,China,CN,Sichuan,minor,3723000,3723000
Hanzhong,33.0794,107.0260,China,CN,Shaanxi,,3700000,3700000
Zaozhuang,34.8667,117.5500,China,CN,Shandong,,3650000,3650000
Anshan,41.1066,122.9895,China,CN,Liaoning,,3645884,3645884
Deyang,31.1289,104.3950,China,CN,Sichuan,minor,3636000,3636000
Lanzhou,36.0617,103.8318,China,CN,Gansu,admin,3616163,3616163
Chengde,40.9739,117.9322,China,CN,Hebei,,3610000,3610000
Puyang,35.7639,115.0300,China,CN,Henan,minor,3580000,3580000
Suining,30.5098,105.5737,China,CN,Sichuan,minor,3556000,3556000
Baicheng,23.9010,106.6194,China,CN,Guangxi,minor,3466758,3466758
Qincheng,34.5809,105.7311,China,CN,Gansu,minor,3400000,3400000
Taiyuan,37.8733,112.5425,China,CN,Shanxi,admin,3398000,3398000
Jinan,36.6667,116.9833,China,CN,Shandong,admin,3250000,3250000
Changzhi,36.1953,113.0970,China,CN,Shanxi,minor,3230000,3230000
Shiyan,32.6351,110.7755,China,CN,Hubei,minor,3228000,3228000
Bazhou,31.8576,106.7559,China,CN,Sichuan,minor,3134000,3134000
Zhongshan,22.5333,113.3500,China,CN,Guangdong,minor,3121275,3121275
Zhenjiang,32.2109,119.4551,China,CN,Jiangsu,minor,3113384,3113384
Ürümqi,43.8250,87.6000,China,CN,Xinjiang,admin,3112559,3112559
Tongliao,43.6172,122.2640,China,CN,Inner Mongolia,minor,3094600,3094600
Heyuan,23.7503,114.6923,China,CN,Guangdong,minor,3093900,3093900
Qinzhou,21.9500,108.6167,China,CN,Guangxi,minor,3079721,3079721
Xinzhou,38.4178,112.7233,China,CN,Shanxi,minor,3067501,3067501
Shaoguan,24.8011,113.5927,China,CN,Guangdong,minor,2997600,2997600
Shanwei,22.7664,115.3331,China,CN,Guangdong,minor,2990000,2990000
Dingxi,35.5806,104.6263,China,CN,Gansu,minor,2930000,2930000
Ningde,26.6667,119.5167,China,CN,Fujian,minor,2910000,2910000
Putian,25.4394,119.0103,China,CN,Fujian,minor,2900000,2900000
Huzhou,30.8695,120.0958,China,CN,Zhejiang,minor,2893542,2893542
Wuzhou,23.4833,111.3167,China,CN,Guangxi,minor,2882200,2882200
Mudanjiang,44.5861,129.5997,China,CN,Heilongjiang,minor,2790000,2790000
Huludao,40.7094,120.8378,China,CN,Liaoning,minor,2787000,2787000
Rizhao,35.4164,119.4331,China,CN,Shandong,minor,2720000,2720000
Nanping,26.6448,118.1728,China,CN,Fujian,minor,2690000,2690000
Longyan,25.0881,117.0244,China,CN,Fujian,minor,2640000,2640000
Hohhot,40.8151,111.6629,China,CN,Inner Mongolia,admin,2635000,2635000
Chaozhou,23.6700,116.6300,China,CN,Guangdong,minor,2620000,2620000
Weihai,37.5000,122.1000,China,CN,Shandong,minor,2596753,2596753
Sanming,26.2658,117.6302,China,CN,Fujian,minor,2580000,2580000
Luohe,33.5830,114.0109,China,CN,Henan,minor,2500000,2500000
Lianshan,40.7503,120.8300,China,CN,Liaoning,minor,2426000,313247
Huangshi,30.2018,115.0326,China,CN,Hubei,minor,2419000,2419000
Jiamusi,46.8081,130.3653,China,CN,Heilongjiang,minor,2360000,2360000
Yangjiang,21.8556,111.9627,China,CN,Guangdong,minor,2357000,2357000
Yuxi,24.3495,102.5432,China,CN,Yunnan,minor,2303518,2303518
Yingkou,40.6653,122.2297,China,CN,Liaoning,minor,2220000,2220000
Ma’anshan,31.7135,118.3605,China,CN,Anhui,minor,2202899,2202899
Pingliang,35.5412,106.6819,China,CN,Gansu,minor,2190000,2190000
Gaoping,30.7804,106.1300,China,CN,Sichuan,minor,2174000,2174000
Xining,36.6239,101.7787,China,CN,Qinghai,admin,2154000,2154000
Jincheng,35.4906,112.8483,China,CN,Shanxi,minor,2120000,2120000
Lishui,28.4500,119.9167,China,CN,Zhejiang,minor,2116957,2116957
Qingyang,24.8141,118.5792,China,CN,Fujian,minor,2111000,2111000
Haikou,20.0200,110.3200,China,CN,Hainan,admin,2046189,2046189
Pingxiang,27.6333,113.8500,China,CN,Jiangxi,minor,2001027,2001027
Chongzuo,22.4167,107.3667,China,CN,Guangxi,minor,1994285,1994285
Jixi,45.2937,130.9650,China,CN,Heilongjiang,minor,1950000,1950000
Wuwei,37.9278,102.6329,China,CN,Gansu,minor,1890000,1890000
Xiping,40.0800,113.3000,China,CN,Shanxi,minor,1873000,1052678
Baiyin,36.5448,104.1766,China,CN,Gansu,minor,1799000,1799000
Shengli,37.4500,118.4667,China,CN,Shandong,minor,1790000,1790000
Heihe,50.2458,127.4886,China,CN,Heilongjiang,minor,1750000,1750000
Shuozhou,39.3408,112.4292,China,CN,Shanxi,minor,1714857,1714857
Yushan,31.3867,120.9766,China,CN,Jiangsu,minor,1651200,1651200
Yinchuan,38.4795,106.2254,China,CN,Ningxia,admin,1616000,1616000
Jingdezhen,29.2942,117.2036,China,CN,Jiangxi,minor,1587477,1587477
Zhuhai,22.2769,113.5678,China,CN,Guangdong,minor,1562000,1562000
Yucheng,29.9888,103.0007,China,CN,Sichuan,minor,1512000,1512000
Xushan,30.1697,121.2665,China,CN,Zhejiang,minor,1502000,1502000
Guiping,23.4000,110.0833,China,CN,Guangxi,minor,1496904,1496904
Zhangjiajie,29.1255,110.4844,China,CN,Hunan,minor,1486000,1486000
Yunfu,22.9242,112.0353,China,CN,Guangdong,minor,1470000,1470000
Huangshan,29.7132,118.3151,China,CN,Anhui,minor,1470000,1470000
Huazhou,32.6832,112.0790,China,CN,Henan,minor,1468061,1468061
Chizhou,30.6583,117.4849,China,CN,Anhui,minor,1430000,1430000
Yutan,28.3147,112.5540,China,CN,Hunan,minor,1368117,1368117
Fuqing,25.7232,119.3735,China,CN,Fujian,minor,1316000,1316000
Yangquan,37.8576,113.5762,China,CN,Shanxi,minor,1300000,1300000
Haicheng,40.8523,122.7474,China,CN,Liaoning,minor,1293877,1293877
Wuzhong,37.9874,106.1919,China,CN,Ningxia,minor,1284000,1284000
Zhangye,38.9355,100.4553,China,CN,Gansu,minor,1270000,1270000
Rucheng,32.3852,120.5634,China,CN,Jiangsu,minor,1267066,1267066
Shaoyang,32.9387,119.8404,China,CN,Jiangsu,minor,1253548,1253548
Yangshe,31.8775,120.5512,China,CN,Jiangsu,minor,1253100,1253100
Yichun,47.7235,128.8893,China,CN,Heilongjiang,minor,1250000,1250000
Yiwu,29.3081,120.0698,China,CN,Zhejiang,minor,1234015,1234015
