北京,705.35,727.4,729,754,772
天津,243.2,246.36,247,231,243
河北省,525.8,588.6,,,
石家庄市,95.66,96.09,91,87,91
唐山市,84.14,80.56,78,67,69
邯郸市,70.05,71.56,70,55,56
张家口市,36.38,35.61,35,28,29
保定市,92.77,86.26,91,67,76
沧州市,46.14,48.08,47,39,42
秦皇岛市,31.27,32.07,31,27,26
邢台市,42.32,41.93,42,33,33
廊坊市,,41.29,42,39,39
承德市,27.07,27.99,27,23,24
衡水市,,27.16,27,21,22
山西省,426.21,420.98,,,
太原市,101.16,102.94,100,101,100
大同市,38.78,37.65,38,37,38
阳泉市,26.16,25.89,25,24,23
长治市,43.15,41.62,40,41,41
晋城市,35.72,34.69,34,33,33
朔州市,17.97,19.37,18,18,16
忻州市,23.74,23.19,23,23,22
晋中市,33.33,31.51,31,30,31
吕梁市,34.83,33.66,33,31,31
临汾市,35.86,35.02,35,32,32
运城市,35.51,35.44,32,31,31
内蒙古自治区,260.27,252.76,,,
呼伦贝尔市,40.2,41.95,37,33,31
通辽市,28.65,29.1,29,26,24
乌兰察布市（2003年前为乌兰察布盟）,15.61,15.5,15,15,15
鄂尔多斯市,31.35,27.34,31,32,27
巴彦淖尔市,15.54,14.78,14,14,13
呼和浩特市,43,41.5,42,40,43
包头市,39.09,38.36,37,34,33
乌海市,11.94,10.56,9,9,8
赤峰市,34.89,33.67,33,31,29
辽宁省,629.73,587.52,,,
沈阳市,143.71,136.64,120,113,108
大连市,115.55,108.24,101,91,92
鞍山市,57.95,55.06,46,40,36
抚顺市,30.31,27.57,25,23,21
本溪市,29.13,25.14,23,20,19
丹东市,26.78,24.15,21,18,18
锦州市,31.7,30.66,29,24,22
营口市,26.97,24.19,26,26,24
阜新市,19.8,18.1,15,14,14
辽阳市,19.51,17.63,16,16,16
铁岭市,25.77,24.13,22,21,18
朝阳市,31.18,27.53,24,21,20
盘锦市,46.69,45.16,42,40,39
葫芦岛市,24.68,23.32,20,19,17
吉林省,290.46,283.6,,,
长春市,124.09,123.46,121,121,114
吉林市,42.72,41.04,39,37,34
四平市,20.58,19.07,18,18,16
辽源市,12.67,12.41,12,13,8
通化市,28.09,27.37,26,18,16
白山市,16.41,15.88,15,15,13
白城市,20.26,19.22,19,18,17
松原市,25.64,25.15,25,24,20
黑龙江省,370.38,368.57,,,
哈尔滨市,132.45,125.68,122,120,112
齐齐哈尔市,38.07,36.27,35,32,31
牡丹江市,23.81,23.2,21,19,17
佳木斯市,17.37,18.19,16,15,20
鸡西市,17.4,21.5,14,15,
鹤岗市,12.7,13.6,11,10,13
双鸭山市,12.7,14.22,11,11,16
七台河市,11.61,11.2,9,9,8
黑河市,12.01,11.5,11,12,17
伊春市,17.01,15.9,15,15,15
大庆市,49.26,52.68,52,51,45
绥化市,25.99,24.63,24,23,22
上海,671.27,681.94,592,592,592
江苏省,1362.62,1450.36,,,
南京市,173.02,198.86,191,187,197
无锡市,113.92,111.35,95,102,101
徐州市,99.7,85.47,92,87,79
常州市,66.03,67.14,56,66,65
苏州市,304.6,300.44,279,282,281
南通市,151.67,195.85,143,194,198
连云港市,39.39,43.16,44,42,43
淮安市,60.99,72.46,62,57,42
盐城市,74.98,80.47,73,70,73
扬州市,87.8,101.84,97,92,92
镇江市,45.61,47.57,45,40,37
泰州市,97.87,97.28,97,101,99
宿迁市,47.04,48.47,43,44,42
浙江省,965.51,929.37,,,
杭州市,268.32,264.75,266,264,260
嘉兴市,55.5,70.59,70,69,73
湖州市,42.64,42.25,44,42,41
舟山市,17.16,17.19,17,,17
金华市,91.08,53.26,52,50,50
绍兴市,123.3,122.19,133,116,111
温州市,92.54,92.27,92,97,89
台州市,94.48,89.2,84,88,85
丽水市,17.25,17.57,17,17,18
衢州市,17.09,16.95,17,16,16
宁波市,146.15,143.15,129,135,130
安徽省,477.51,471.08,,,
宣城市,14.1,14.17,14,15,19
宿州市,31.76,27.68,28,25,29
滁州市,22.63,23.74,23,24,31
池州市,10.05,11,10,10,10
阜阳市,31.62,32.28,33,31,36
六安市,23.07,20.4,18,18,21
合肥市,127.56,127.23,130,133,155
蚌埠市,20.99,20.64,21,20,22
淮南市,30.9,31.03,31,26,25
铜陵市,14.31,15.94,16,16,18
马鞍山市,21.76,21.79,21,22,26
淮北市,27.56,23.93,22,18,19
芜湖市,38.59,41.86,42,41,49
安庆市,31.58,28.39,39,29,33
黄山市,10.46,10.3,11,10,11
亳州市,20.57,20.7,21,21,23
福建省,577.99,584.9,,,
福州市,131.22,138.41,139,136,151
三明市,21.52,21.2,21,22,21
南平市,20.22,20.64,22,22,22
宁德市,26.18,27.43,27,28,23
莆田市,44.13,44.19,46,49,52
泉州市,152,145.41,143,131,138
漳州市,43.87,44.46,46,49,49
龙岩市,29.65,27.83,28,28,29
厦门市,109.2,115.33,132,139,146
江西省,409.81,424.29,,,
南昌市,104.32,106.22,105,102,100
景德镇市,18.52,18.22,18,17,15
萍乡市,19,19.6,19,19,15
九江市,41.84,42.85,40,41,37
新余市,13.19,13.37,14,13,11
鹰潭市,13.01,14.86,15,16,15
赣州市,51.36,54.94,55,53,52
宜春市,41.11,43.38,43,43,41
上饶市,40.75,41.86,38,39,36
吉安市,32.41,33.96,35,35,32
抚州市,34.3,35.03,36,34,30
山东省,1178.01,1162.97,,,
青岛市,143.4,143,138,137,139
济南市,120.87,123.37,124,120,118
淄博市,88.56,83.97,80,76,73
枣庄市,45.63,45.85,43,41,36
烟台市,108.55,103.91,101,97,93
潍坊市,78.78,77.41,79,84,87
济宁市,84.41,76.02,77,76,71
临沂市,85.72,93.69,84,82,69
泰安市,73.53,70.64,65,63,46
聊城市,45.93,44.18,44,43,45
菏泽市,48.41,49.57,50,49,47
德州市,54.32,54.42,53,52,47
滨州市,50.8,50.33,48,46,42
东营市,46.52,42.53,41,39,35
威海市,54.47,57.37,58,57,51
日照市,29.79,29.32,30,29,27
莱芜市,18.32,17.39,16,15,14
河南省,967.79,1015.72,,,
郑州市,168.88,185.28,187,190,171
开封市,40.32,38.08,47,46,35
洛阳市,68.04,70.08,71,68,59
平顶山市,54.73,53.69,52,51,47
安阳市,53.37,54.19,52,48,42
濮阳市,38.13,38.03,38,38,26
新乡市,63.23,59.82,58,56,44
焦作市,43.6,46.11,50,51,33
鹤壁市,21.47,23.41,22,21,15
许昌市,44.1,43.77,46,46,41
漯河市,28.96,32.03,32,34,34
三门峡市,27.04,26.31,24,22,20
南阳市,79.7,94.52,89,84,71
商丘市,54.89,61.41,67,73,63
信阳市,55.89,58.51,58,58,58
周口市,65.11,66.54,70,66,58
驻马店市,60.33,63.94,65,65,53
湖北省,719.15,732.32,,,
武汉市,188.51,195.03,198,201,193
黄石市,47.4,45.96,46,46,46
十堰市,59.24,58.95,61,63,63
荆州市,37.41,37.22,37,35,32
宜昌市,85.39,92.94,94,86,85
襄阳市（2010年前为襄樊市）,64.8,58.29,56,52,51
鄂州市,20.39,20.9,22,21,21
荆门市,36.1,37.74,37,38,37
孝感市,75.27,76.29,78,80,80
黄冈市,57.14,61.24,72,81,75
咸宁市,33.63,34.17,34,35,34
随州市,13.87,13.59,13,13,13
湖南省,509.47,496.82,,,
长沙市,123.78,123.34,113,113,111
株洲市,41.03,42.45,42,41,37
湘潭市,30.32,26.7,26,27,28
衡阳市,49.75,50.21,49,48,43
邵阳市,32.26,31.46,31,33,33
岳阳市,43.3,40.27,42,37,36
常德市,38.21,38.54,41,39,38
张家界市,9.1,8.65,5,8,8
益阳市,24.61,22.14,23,22,21
永州市,29.97,29.51,29,31,30
郴州市,32.53,32.44,32,33,32
娄底市,28.91,27.37,28,27,25
