北京,1333.4,1345.2,1363,1359,1376
天津,1016.7,1026.9,1044,1050,1082
河北省,7592.7,7650.83,,,
石家庄市,1024.9,1028.84,1038,973,982
唐山市,753.2,754.96,760,755,758
邯郸市,1029.5,1049.7,1055,1051,1058
张家口市,468.6,469.01,470,465,465
保定市,1196.6,1202.19,1207,1199,1208
沧州市,768.4,774.36,780,778,783
秦皇岛市,295.1,295.64,298,298,300
邢台市,772.9,780.39,788,790,797
廊坊市,450.4,461.13,470,474,479
承德市,380.7,382.35,383,380,382
衡水市,452.6,452.26,455,454,456
山西省,3563.5,3498.02,,,
太原市,369.7,367.39,370,369,377
大同市,339.2,316.22,318,318,318
阳泉市,133.2,132.16,133,132,132
长治市,339.2,336.85,339,338,339
晋城市,218.9,219.44,220,221,221
朔州市,175.4,161.51,163,164,163
忻州市,312.5,306.52,308,308,308
晋中市,330.5,329.66,332,332,334
吕梁市,390.7,387.48,391,392,394
临汾市,429,430.59,434,433,433
运城市,525.2,510.2,531,513,513
内蒙古自治区,2179.7,2154.12,,,
呼伦贝尔市,265.9,259.3,259,260,256
通辽市,319.4,319.37,319,316,316
乌兰察布市（2003年前为乌兰察布盟）,277,273.87,274,272,271
鄂尔多斯市,156,157.32,159,161,162
巴彦淖尔市,178.6,174.7,175,174,174
呼和浩特市,237.9,238.58,241,243,246
包头市,223.7,223.86,224,224,224
乌海市,55.4,44.49,44,44,44
赤峰市,465.8,462.63,463,460,459
辽宁省,4244.2,4229.67,,,
沈阳市,730.8,730.41,734,737,746
大连市,594.3,593.56,596,595,595
鞍山市,348.2,346.05,346,344,342
抚顺市,217.4,215.76,215,211,209
本溪市,152,151.21,150,148,146
丹东市,239.5,238.15,238,235,234
锦州市,305.3,302.56,302,296,295
营口市,233.3,232.62,233,232,231
阜新市,191,189.47,189,186,185
辽阳市,179.9,178.96,179,177,175
铁岭市,302,300.38,300,294,292
朝阳市,340.6,340.9,341,336,336
盘锦市,129.2,129.54,130,130,130
葫芦岛市,280.7,280.1,280,277,276
吉林省,2456.8,2448.49,,,
长春市,754.6,753.83,753,749,751
吉林市,427.7,426.24,422,415,414
四平市,328.1,326.41,324,320,319
辽源市,121.8,120.8,120,118,117
通化市,222.2,221.1,220,217,216
白山市,126.3,125.37,122,120,118
白城市,197.8,196.67,193,191,190
松原市,278.5,278.07,278,275,275
黑龙江省,3695.3,3641.33,,,
哈尔滨市,987.3,961.37,962,955,952
齐齐哈尔市,553.2,549.39,544,534,530
牡丹江市,264,262,259,255,252
佳木斯市,241.4,237.55,238,235,233
鸡西市,183.6,181.7,181,175,173
鹤岗市,107,105.61,104,101,100
双鸭山市,149,147.43,145,94,141
七台河市,88.2,83.11,80,79,78
黑河市,170.5,168,163,161,159
伊春市,122,121.19,118,116,114
大庆市,276,275.48,276,273,273
绥化市,553.2,548.5,543,528,524
上海,1438.7,1442.97,1450,1455,1462
江苏省,7684.7,7717.59,,,
南京市,648.7,653.4,663,681,697
无锡市,477.1,480.9,486,493,497
徐州市,1023.5,1028.7,1041,1039,1045
常州市,368.6,370.85,375,379,382
苏州市,661.1,667.01,678,691,704
南通市,767.6,766.77,767,764,763
连云港市,526.5,530.56,534,533,534
淮安市,560.3,564.45,568,561,561
盐城市,828.5,828.03,831,826,825
扬州市,461.3,461.12,462,460,459
镇江市,272.1,271.67,272,271,271
泰州市,508.5,507.85,508,505,503
宿迁市,580.7,586.28,592,591,591
浙江省,4859.2,4873.33,,,
杭州市,715.8,723.55,736,754,774
嘉兴市,348.1,349.48,352,356,360
湖州市,263.8,263.71,265,266,267
舟山市,97.5,97.36,97,97,97
金华市,475.1,478.09,481,486,489
绍兴市,443,443.11,445,446,447
温州市,813.7,811.21,818,825,829
台州市,597.1,597.49,600,604,605
丽水市,265.7,266.38,268,269,270
衢州市,255.7,256.38,257,258,258
宁波市,583.8,586.57,591,597,603
安徽省,6935.3,6949.11,,,
宣城市,279.8,279.95,280,280,279
宿州市,642.3,649.51,654,656,657
滁州市,449.6,449.06,454,454,454
池州市,160.6,161.61,162,162,162
阜阳市,1051.4,1042.65,1062,1070,1071
六安市,720.5,717.73,587,588,589
合肥市,712.8,717.72,730,743,758
蚌埠市,371.1,376.35,380,381,384
淮南市,243.4,246.2,389,390,390
铜陵市,73.8,73.8,171,171,171
马鞍山市,227.2,228.5,229,229,229
淮北市,215.3,216.5,217,217,218
芜湖市,384.5,384.79,388,388,389
安庆市,620.9,622.1,529,531,528
黄山市,147.7,147.69,148,148,149
亳州市,634.4,634.95,647,651,657
福建省,3695.8,3720.58,,,
福州市,674.9,678.36,687,693,703
三明市,284,284.12,287,288,289
南平市,319.2,319.86,321,319,320
宁德市,352.2,348.92,352,351,354
莆田市,341.2,344.26,350,355,360
泉州市,716.2,722.45,730,742,755
漳州市,497.4,502.08,508,514,521
龙岩市,307.1,309.38,314,316,319
厦门市,203.4,211.15,221,231,243
江西省,4923.3,4914.48,,,
南昌市,517.7,520.38,523,525,532
景德镇市,167.8,166.73,169,169,170
萍乡市,198.2,198.34,200,200,200
九江市,513.1,516.59,520,520,523
新余市,122.3,123.52,124,122,125
鹰潭市,126.9,127.26,128,128,129
赣州市,954.2,960.63,971,974,981
宜春市,595.6,596.99,602,602,605
上饶市,773.1,774.4,782,783,789
吉安市,526.7,530.36,535,536,539
抚州市,427.5,399.28,401,431,432
山东省,9747.1,9821.71,,,
青岛市,780.6,783.09,791,803,818
济南市,621.6,625.73,633,644,656
淄博市,428,429.6,432,433,434
枣庄市,401.3,407.77,413,418,423
烟台市,653.4,653.28,655,654,654
潍坊市,888.3,893.71,901,908,914
济宁市,860.1,867.44,876,883,891
临沂市,1113.2,1124.04,1141,1162,1180
泰安市,562.3,565.71,569,571,573
聊城市,612.1,622.3,633,640,645
菏泽市,990.6,1003.06,1015,1019,1025
德州市,583.2,587.27,593,595,598
滨州市,386.7,389.07,392,394,397
东营市,189.1,190.62,193,195,197
威海市,254.8,254.75,256,256,257
日照市,293.9,295.95,300,304,307
莱芜市,127.8,128.32,129,129,129
河南省,11121,11103.25,,,
郑州市,937.8,810.49,827,842,864
开封市,553.8,553.84,559,559,560
洛阳市,696.2,728.45,737,737,740
平顶山市,557.1,562.29,568,567,570
安阳市,611.4,617.45,626,624,627
濮阳市,424.5,429.01,433,432,435
新乡市,630.5,637.44,646,647,656
焦作市,369.6,371.68,374,371,373
鹤壁市,166.9,168.74,170,170,171
许昌市,499.8,504.77,510,508,509
漯河市,266.7,268.04,269,267,267
三门峡市,227.8,228.27,229,228,227
南阳市,1181.4,1188.5,1195,1200,1238
商丘市,949.7,961.09,977,987,999
信阳市,890.4,897.96,908,911,912
周口市,1236.9,1244.35,1259,1258,1259
驻马店市,920.6,930.88,949,961,964
湖北省,5324.9,5307.79,,,
武汉市,827.3,829.27,834,854,884
黄石市,265.1,267.97,270,271,273
十堰市,347,345.94,348,346,347
荆州市,658.5,643.19,646,642,641
宜昌市,400.4,398.18,394,392,392
襄阳市（2010年前为襄樊市）,595.5,591.58,594,592,592
鄂州市,110.2,110.29,111,111,111
荆门市,300.3,299.09,300,294,293
孝感市,525.7,526.48,523,519,518
黄冈市,741.4,744.42,747,740,741
咸宁市,296.5,300.41,304,304,305
随州市,257.1,250.97,252,250,251
湖南省,6916.9,6946.85,,,
长沙市,671.4,680.36,696,709,729
株洲市,396.1,402.92,404,403,403
湘潭市,291.5,289.29,290,288,289
衡阳市,791.5,799.27,799,800,801
邵阳市,819,821.37,830,826,828
岳阳市,563.3,564.39,571,567,569
常德市,608.7,609.18,611,606,605
张家界市,172.1,169.97,171,170,170
益阳市,483.2,480.82,484,479,478
永州市,630.9,635.28,645,642,645
郴州市,518.8,528.27,535,534,535
娄底市,444.9,447.7,453,454,455
怀化市,525.5,518.03,523,522,524
广东省,8872.5,8993.71,,,
广州市,842.4,854.19,870,898,928
深圳市,332.2,354.99,385,435,455
珠海市,110.2,112.45,115,119,127
汕头市,546.6,550.46,559,565,569
佛山市,385.6,388.97,400,420,437
韶关市,329.1,330.21,334,335,337
河源市,365.3,366.41,373,373,373
梅州市,528.6,543.79,551,550,548
惠州市,348.5,357.07,364,369,381
汕尾市,359.1,358.96,362,363,356
东莞市,191.4,195.01,201,211,232
中山市,156.1,158.68,161,170,177
江门市,393.4,391.41,394,396,399
阳江市,289.4,292.12,296,297,300
湛江市,819,822.96,835,839,848
茂名市,772.4,785.84,799,804,811
肇庆市,433.7,438.27,444,446,450
清远市,412.3,418.51,432,437,443
潮州市,268.8,272.8,274,276,276
揭阳市,694.2,701.68,697,703,705
云浮市,294.2,298.93,301,300,301
广西壮族自治区,5475.5,5518.24,,,
南宁市,729.7,740.23,752,757,771
柳州市,377.9,381.62,386,387,390
桂林市,526.5,528.97,534,534,538
梧州市,340.3,343.92,347,349,352
北海市,169.3,171.96,174,175,178
防城港市,94.2,95.61,97,98,99
钦州市,402,404.1,409,411,415
贵港市,543.2,548.94,555,556,561
玉林市,708,710.73,717,724,733
贺州市,238.1,239.79,243,244,246
百色市,412,413.19,417,418,421
河池市,419.9,424.54,429,430,433
来宾市,266.4,265.84,269,268,269
崇左市,248.2,248.8,251,250,252
海南省,223.9,318.77,,,
海口市,165.3,164.8,167,171,178
三亚市,58.6,57.78,58,59,61
三沙市,,0.04,0,,
儋州市,,96.15,95,96,97
重庆市,3375.2,3371.84,3392,3390,3404
四川省,8448.7,8397.47,,,
成都市,1210.7,1228.05,1399,1435,1476
自贡市,330,327.46,327,324,323
攀枝花市,111.9,110.66,111,109,108
泸州市,508.9,505.68,508,510,510
德阳市,392.5,389.99,392,388,387
绵阳市,548.8,545.48,545,537,536
广元市,310.1,305.31,305,303,301
遂宁市,380.4,378.75,378,370,365
内江市,426,420.43,420,415,412
