北京,10571258,10822872,11175010,11709000,12407013
天津,2875700,2953200,3024700,3113000,3234400
河北省,5019600,5043378,,,
石家庄市,919600,916200,920546,921679,955252
唐山市,805648,811356,827641,862276,926500
邯郸市,675586,685011,682540,695145,709758
张家口市,385809,385525,387176,392200,399139
保定市,504600,521100,522800,534495,547083
沧州市,360410,364325,366046,373116,381052
秦皇岛市,326851,328117,333147,361079,375428
邢台市,346994,348389,350286,357641,365430
廊坊市,276182,277600,296892,305335,319049
承德市,233697,221532,222874,227114,230504
衡水市,184223,184223,184223,187223,191104
山西省,3972362,4002949,,,
太原市,849394,867479,898579,938002,976166
大同市,450370,450703,451415,449773,456000
阳泉市,250473,250530,251253,251236,256504
长治市,405733,407459,413225,415687,426245
晋城市,296505,301244,302900,305721,316221
朔州市,182421,183028,183258,182784,184881
忻州市,208675,208838,209013,208300,213700
晋中市,323362,324251,308263,321822,326839
吕梁市,318025,321700,321300,319500,323800
临汾市,348904,349080,346572,347000,358703
运城市,338500,338637,339492,339492,345500
内蒙古自治区,2084183,2181112,,,
呼伦贝尔市,262235,306200,265039,265003,265001
通辽市,180000,183107,182000,183000,183000
乌兰察布市（2003年前为乌兰察布盟）,138000,128590,132628,132541,127100
鄂尔多斯市,195389,201000,204274,221930,241655
巴彦淖尔市,106745,104670,100006,102003,98002
呼和浩特市,409680,472626,475000,505000,595191
包头市,433029,425200,425020,425148,423063
乌海市,96000,92400,90000,90065,84000
赤峰市,263105,267319,267126,271201,262931
辽宁省,6584739,6564640,,,
沈阳市,1383028,1395482,1400512,1430207,1432098
大连市,1437023,1450783,1454642,1524292,1555867
鞍山市,614051,550293,549353,551520,551044
抚顺市,490018,488015,488025,492063,487509
本溪市,375138,404029,401026,360661,358121
丹东市,230010,225000,228027,232316,230010
锦州市,331061,331448,331789,334040,332060
营口市,227788,240855,239123,241052,240096
阜新市,200135,198140,196152,201937,190442
辽阳市,223215,227138,227253,231398,230194
铁岭市,262778,234370,258603,262000,260090
朝阳市,240960,241343,238998,240006,235342
盘锦市,323210,349498,352807,352017,354167
葫芦岛市,246324,228246,241274,243260,241173
吉林省,2261348,2172569,,,
长春市,931964,952861,958664,969712,995212
吉林市,421419,417350,427759,428791,426083
四平市,216033,192989,194600,234276,238906
辽源市,78274,77857,72265,72160,74170
通化市,189875,145076,158091,181259,180388
白山市,136944,115442,115540,115517,129324
白城市,132184,109359,132853,135551,140210
松原市,154655,161635,163071,161643,174792
黑龙江省,3391786,2569514,,,
哈尔滨市,1288000,970152,969600,973600,992100
齐齐哈尔市,487003,390800,165600,195400,198938
牡丹江市,188842,152142,153225,155031,156600
佳木斯市,191000,132100,136500,137500,141200
鸡西市,200609,158700,158700,158500,159200
鹤岗市,102800,77110,78044,79060,79810
双鸭山市,122000,122500,125400,126717,127400
七台河市,98568,99068,99568,99568,100268
黑河市,71910,72913,4000,44100,45103
伊春市,124260,124700,125684,125725,126425
大庆市,207515,170025,171192,174129,179121
