,City,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Yuan)",Number of the registered unemployed at the end of year,Average annual salary per urban employee ( Yuan),"Number of average employees on site (10,000 Yuan)",Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GRP,"Total retail sales of social consumer goods (10,000 Yuan)","Government expenditure on Science (10,000 yuan)","Government expenditure on Education (10,000 yuan)",Number of secondary schools,Number of theaters,Collections of public libraries (100 people),Number of employees joining urban basic medical care system,Persons covered of unemployment insurance,"Population (registered residence population) at the end of the year (10,000)","Number of male population (registered residence population) at the end of the year (10,000)","Number of female population (registered residence population) at the end of the year (10,000)"
43,白城市,193.694,-2.582,20.24986,13573.4,43700.972,18.695999999999998,76.515,34474.5,42.385,40.4625,3243537.6,9590.2,288996.6,121.0,4.0,25.76,431635.4,130031.4,193.694,97.62,96.12799999999999
44,哈尔滨市,963.534,-1.15,129.80293999999998,92897.8,62371.02,122.426,183.51,59926.2,30.9225,58.305,36758923.0,94937.2,1202242.0,456.4,80.0,82.49000000000002,2531029.4,1038690.4,963.432,483.08,480.36266000000006
45,齐齐哈尔市,542.118,-2.56,38.2774,114191.0,50875.0625,34.468,129.77,25142.6,30.18,46.395,7307791.6,12036.6,602670.8,244.6,17.0,31.7,1168887.8,287548.2,541.994,273.94599999999997,268.15052000000003
46,鹤岗市,103.522,-4.046,18.72024,16656.8,47383.93,12.06,72.61,26185.6,30.925,35.25,1265913.2,3661.8,132103.6,38.6,3.0,40.69,232863.0,83364.8,103.412,51.618,51.72418
47,七台河市,81.66199999999999,-2.048,10.0893,8840.8,48290.96,9.762,137.615,27462.0,38.465,47.11,1000963.0,1811.6,83776.8,45.0,3.0,27.7,208099.2,99408.0,81.52199999999998,41.583999999999996,39.971779999999995
48,黑河市,164.3,-2.84,21.585740000000005,9154.4,46090.615,12.702,24.78,28204.6,15.489999999999998,37.5275,1097567.0,7288.4,173036.4,75.6,6.0,20.84,270686.75,47605.2,164.262,82.774,81.28524
49,伊春市,118.238,-5.254,17.17012,21249.8,36261.094,15.582,37.04,21657.6,20.8725,37.96,1195324.6,3066.4,80321.8,50.4,8.0,70.405,387509.8,125358.8,118.244,58.82000000000001,59.52414000000001
50,大庆市,274.69599999999997,-2.568,51.34332000000001,40367.4,74261.65400000001,49.988,129.83499999999998,110327.4,62.6075,31.0075,11097332.2,7517.6,410146.6,145.8,21.0,92.48,588916.25,180396.4,276.156,138.358,138.95966
51,绥化市,539.3399999999998,-3.688,26.11644,20316.0,43393.736,23.924,158.03,23895.4,26.1425,35.41,5650373.6,8841.0,557965.6,256.8,13.0,21.5,512528.25,134700.4,539.3919999999999,275.762,263.71326
52,上海市,1449.734,-1.03,670.8189800000001,230920.0,117481.352,625.842,2272.45,113177.5,31.52,68.065,109761100.8,3384230.6,8191809.6,802.0,81.0,518.125,15226880.0,8324420.0,1449.836,,
53,南京市,668.62,5.604,214.38672,64640.2,92225.052,189.37599999999998,988.1,126466.5,39.35,58.31,50565345.8,595426.8,1977627.4,229.0,63.0,165.04500000000004,4016108.8,2637707.2,668.6080000000001,,334.744
54,无锡市,486.8,2.18,116.20533999999999,39777.8,81762.19399999999,104.654,1035.38,143213.75,48.5425,49.9975,31411626.2,401144.6,1394375.2,183.2,46.0,101.06,3133088.8,2066810.6,486.842,,246.572
55,徐州市,1035.44,10.0,99.52374,31191.6,59338.184,88.634,872.3,65731.5,43.6075,46.965,26211915.2,208879.6,1588004.4,336.2,9.0,30.145,1847795.0,885550.0,1035.3939999999998,,499.33727999999996
56,常州市,375.09,2.418,69.46674,32531.2,79063.416,64.03399999999999,845.88,122160.5,47.3975,49.99,22111837.4,237916.0,865184.6,160.6,7.0,83.425,1905431.0,1126773.2,375.13,,189.85792
57,苏州市,680.222,4.0779999999999985,297.82742,37780.2,80177.656,289.408,767.0550000000002,146487.0,48.43,50.18,49366441.8,1071268.0,2618902.0,290.4,23.0,245.06,6386175.0,4183110.0,680.132,,346.71568
58,南通市,765.674,-1.442,211.24262000000002,35504.0,71220.688,176.50400000000002,727.38,92428.75,47.9675,46.5525,26281209.4,267821.0,1524867.8,208.0,35.0,59.685,2083810.4,1040449.8,765.578,,388.86399999999986
59,连云港市,531.612,8.34,47.26145999999999,12581.4,63112.824,42.31,694.365,51753.0,44.345,42.9425,9326081.6,99667.8,745150.0,175.6,12.0,48.67,848112.2,397476.6,531.6800000000002,,254.158
60,淮安市,562.95,4.1480000000000015,65.44136,20174.2,60455.96400000001,58.89,560.44,60711.5,42.645,46.4775,10712222.6,102095.6,785425.4,186.0,7.0,43.85,952420.0,645180.0,563.016,,273.88844
61,盐城市,827.7059999999999,3.37,85.56136,18450.6,59095.36,74.28999999999998,489.2000000000001,62669.75,45.3325,42.8825,15994222.6,276752.8,1268987.0,278.0,10.0,36.73,1476172.8,744456.0,827.6519999999999,,400.61444
62,扬州市,460.684,0.8719999999999999,103.80564,24909.6,67260.448,94.12799999999999,699.695,98099.0,49.61750000000001,44.68,13549789.6,135607.2,818140.6,166.4,6.0,66.645,1353866.0,651178.0,460.65,,230.588
63,镇江市,271.55400000000003,0.5579999999999999,46.13846,14169.4,69160.86,43.036,708.425,115128.0,49.2625,47.105,12162469.0,133549.8,672121.0,110.8,4.0,107.265,968482.8,521533.8,271.51,,137.21582
64,泰州市,506.47,0.16799999999999998,110.48478,16197.8,61740.46400000001,98.43,878.27,87625.75,48.5675,45.565,11121345.4,117851.6,710448.6,185.2,28.0,49.285,1392333.2,654058.2,506.548,,248.438
65,宿迁市,588.196,9.834,48.60474,11558.8,56045.21400000001,44.902,684.385,47008.25,47.965,40.1525,7024372.4,92665.8,752578.8,185.2,11.0,20.12,695688.8,322290.6,588.2479999999998,,283.018
66,杭州市,740.67,6.1979999999999995,287.6693,38906.6,87834.288,264.61400000000003,433.765,123124.4,37.73,59.57,51015285.4,816017.6,2507756.2,327.8,78.0,267.4,6165799.0,3861586.0,740.6659999999998,368.67384,371.9833
67,嘉兴市,353.116,2.53,79.18498000000001,26927.4,75022.12,67.61800000000001,890.345,86528.8,53.16,43.2975,16450660.8,185000.6,952963.0,172.0,31.0,204.605,2467967.6,1221303.0,353.278,173.56426000000002,179.74424000000005
68,湖州市,265.10200000000003,2.26,49.49288,16406.0,67329.95599999999,42.378,453.42,77635.4,48.8275,45.5975,10778754.0,103546.8,583004.4,121.0,5.0,78.36500000000002,1503832.0,682400.0,265.142,131.20806000000002,133.90061999999998
69,舟山市,97.17200000000001,-0.8380000000000001,35.06118,9118.4,83081.45,17.0875,668.3499999999998,101738.8,39.1625,50.55,4584061.4,55591.2,295397.0,41.8,9.0,158.455,510594.4,219627.2,97.182,48.013020000000004,49.23271999999999
70,金华市,481.838,5.674,89.3111,24454.4,73282.60800000001,59.26800000000001,435.51,66313.4,44.93,51.1225,18862151.25,174957.6,1003615.4,242.6,26.0,62.43000000000001,2146372.2,818428.6,481.7360000000001,244.97716,236.78364
71,绍兴市,444.82199999999995,1.91,130.0989,38494.6,63550.044,121.098,535.115,96356.8,50.16,45.6025,17753623.4,239884.0,976823.8,185.0,35.0,81.10499999999998,2438286.8,1237492.2,444.96,222.06394,222.8099
72,温州市,819.382,7.836,108.46456,30100.6,70619.936,92.56200000000001,672.8050000000002,55519.2,42.92,54.42000000000001,28989343.8,141449.4,1606879.6,453.0,10.0,136.405,2597883.6,1140610.8,819.24,424.7393,394.54474
73,台州市,600.7180000000002,5.166,99.7733,23965.0,65074.00600000001,88.13600000000001,634.415,66180.6,44.7475,49.05499999999999,20177496.8,137451.8,1096206.4,267.8,47.0,53.66,1501468.4,990188.6,600.7040000000001,307.12334,293.61696
74,丽水市,267.816,5.73,18.54618,9556.6,84847.398,17.363999999999994,153.675,55696.8,45.01750000000001,47.145,5772277.4,65995.6,578751.6,96.6,21.0,66.13,832914.6,228582.2,267.908,137.87921999999998,130.02781999999996
75,衢州市,257.016,4.584,20.406920000000003,12698.4,85737.226,16.607999999999997,289.245,56810.8,46.72,46.445,6118857.2,80727.0,434406.6,95.8,14.0,57.8,993027.2,276007.6,256.954,131.39491999999998,125.6485
76,宁波市,592.274,2.6260000000000003,160.50172,67200.0,84580.526,136.66,596.36,113590.0,51.51,45.11,36424057.2,567611.6,1973653.8,295.4,90.0,120.84,4066795.0,2618648.2,592.252,293.9886600000001,298.2517200000001
77,宣城市,279.75,2.036,17.34176,10267.4,63027.924000000006,15.254000000000001,227.335,41921.6,49.075,39.005,4652947.8,99118.8,383167.2,154.2,14.0,28.385,414073.2,149693.4,279.82599999999996,144.546,135.37
78,宿州市,651.762,8.662,119.43402,11214.6,50912.612,28.288,650.125,24478.6,38.665,41.515,4667349.0,38548.6,612324.2,247.2,4.0,9.54,440131.0,202769.0,651.568,338.2820000000001,313.3
79,滁州市,452.132,7.0459999999999985,25.27636,14702.8,61887.88000000001,24.874,332.4249999999999,36402.6,52.0425,32.2825,5184000.8,80221.0,559308.6,270.8,15.0,18.655,560316.0,226283.6,452.132,234.76,217.39
80,池州市,161.642,4.538,10.836319999999999,6905.4,56797.70200000001,10.21,193.54,41048.6,44.835,42.8575,2201289.8,18519.6,199003.6,99.0,7.0,26.875,143950.6,76569.2,161.76000000000005,82.75399999999999,79.08800000000001
