,number of cases,City,location_ENG,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Yuan)",Average annual salary per urban employee ( Yuan),Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GRP,Number of theaters,Collections of public libraries (100 people),province
13,1,包头市,"('Baotou', 'Inner Mongolia')",223.912,2.146,38.117459999999994,64952.38200000001,80.61500000000002,125332.25,46.4675,50.775,17.0,99.08,Inner Mongolia
14,1,北海市,"('Beihai', 'Guangxi')",173.65200000000002,13.886,14.314860000000001,56024.046,511.385,63478.0,50.725,31.902500000000003,7.0,37.43,Guangxi
15,1,吉林市,"('Jilin', 'Jilin')",420.98800000000006,-2.184,38.731359999999995,54901.29,154.02499999999995,55723.5,42.48,48.17,4.0,52.435,Jilin
16,1,呼伦贝尔市,"('Hulunbuir', 'Inner Mongolia')",260.04,0.966,37.43714,58261.67,10.385,59238.0,40.9875,41.38500000000001,30.0,61.915,Inner Mongolia
17,1,咸宁市,"('Xianning', 'Hubei')",453.69022222222225,7.88111111111111,65.13714666666667,47159.683999999994,489.7033333333333,52238.86111111111,48.833055555555546,37.18916666666667,21.88888888888889,45.56111111111111,Hubei
18,1,喀什地区,"('Kashgar', 'Xinjiang')",249.34599999999998,4.372,72.02188000000002,73310.07800000001,193.615,75917.0,31.4875,67.4425,4.0,86.97,Xinjiang
19,1,四平市,"('Siping', 'Jilin')",323.502,-1.014,19.09564,50347.45200000001,229.85,35225.5,39.1675,36.6325,2.0,20.635,Jilin
20,1,固原市,"('Guyuan', 'Ningxia')",151.014,9.46,6.7816,69216.032,116.245,20077.8,27.0175,52.4375,10.0,38.73,Ningxia
21,1,大兴安岭地区,"('Daxing', 'Heilongjiang')",348.42625,-3.0192499999999995,39.1381875,51116.0089375,109.14874999999998,40350.174999999996,31.950625000000002,41.120625,18.875,48.475625,Heilongjiang
22,1,大同市,"('Datong', 'Shanxi')",333.419975308642,4.862197530864197,43.7283162962963,57409.78158024692,267.03740740740744,41970.45185185186,46.74293209876543,46.68537037037037,12.432098765432098,50.64716049382716,Shanxi
23,1,天水市,"('Tianshui', 'Gansu')",265.90200000000004,6.198,25.200113333333338,56921.60399999999,143.68416666666667,29250.078999999998,34.9175,47.93375,8.5,38.222500000000004,Gansu
24,1,安康市,"('Ankang', 'Shaanxi')",394.9106,4.093799999999999,49.58631200000001,56740.62480000001,272.87949999999995,48900.060000000005,53.7255,35.54225,16.7,41.091499999999996,Shaanxi
25,1,安顺市,"('Anshun', 'Guizhou')",298.298,14.982000000000001,18.61692,64949.71799999999,316.165,30071.8,33.542500000000004,49.3475,4.0,17.7,Guizhou
26,1,巴彦淖尔市,"('Bayannur', 'Inner Mongolia')",175.26,4.168,14.8904,56649.91,26.91,51886.25,48.6475,31.845,5.0,39.155,Inner Mongolia
27,1,广元市,"('Guangyuan', 'Sichuan')",304.882,-0.23400000000000004,16.98218,62476.628,188.565,25642.0,46.5325,37.405,32.0,36.59,Sichuan
28,1,延安市,"(""Yan'an"", 'Shaanxi')",403.92166,4.16618,52.65690120000001,57056.83308000001,287.18295,50464.346000000005,53.6203,35.791225000000004,17.57,42.938649999999996,Shaanxi
