location_CN,location_ENG,number of cases
乌鲁木齐市,"('Ürümqi', 'Xinjiang')",3
玉树藏族自治州,"('Yushu', 'Qinghai')",1
海口市,"('Haikou', 'Hainan')",2
鄂尔多斯市,"('Ordos', 'Inner Mongolia')",2
呼和浩特市,"('Hohhot', 'Inner Mongolia')",5
通辽市,"('Tongliao', 'Inner Mongolia')",2
赤峰市,"('Chifeng', 'Inner Mongolia')",6
益阳市,"('Yiyang', 'Hunan')",4
衡水市,"('Hengshui', 'Hebei')",4
茂名市,"('Maoming', 'Guangdong')",4
惠州市,"('Huizhou', 'Guangdong')",2
眉山市,"('Meishan', 'Sichuan')",4
大连市,"('Dalian', 'Liaoning')",31
福州市,"('Fuzhou', 'Fujian')",15
烟台市,"('Yantai', 'Shandong')",2
滨州市,"('Binzhou', 'Shandong')",1
洛阳市,"('Luoyang', 'Henan')",5
达州市,"('Dazhou', 'Sichuan')",3
广安市,"(""Guang'an"", 'Sichuan')",4
绵阳市,"('Mianyang', 'Sichuan')",9
营口市,"('Yingkou', 'Liaoning')",3
巴彦淖尔市,"('Bayannur', 'Inner Mongolia')",1
绥化市,"('Suihua', 'Heilongjiang')",2
吉林市,"('Jilin', 'Jilin')",1
宿州市,"('Suzhou', 'Anhui')",7
咸阳市,"('Xianyang', 'Shaanxi')",10
宝鸡市,"('Baoji', 'Shaanxi')",4
梧州市,"('Wuzhou', 'Guangxi')",3
宜春市,"('Yichun', 'Jiangxi')",2
赣州市,"('Ganzhou', 'Jiangxi')",3
曲靖市,"('Qujing', 'Yunnan')",5
昭通市,"('Zhaotong', 'Yunnan')",7
镇江市,"('Zhenjiang', 'Jiangsu')",6
毕节市,"('Bijie', 'Guizhou')",2
黔南布依族苗族自治州,"('Qiannan', 'Guizhou')",10
六盘水市,"('Liupanshui', 'Guizhou')",1
延安市,"(""Yan'an"", 'Shaanxi')",1
兰州市,"('Lanzhou', 'Gansu')",8
张掖市,"('Zhangye', 'Gansu')",1
大同市,"('Datong', 'Shanxi')",1
文山壮族苗族自治州,"('Wenshan', 'Yunnan')",1
儋州市,"('Danzhou', 'Hainan')",1
濮阳市,"('Puyang', 'Henan')",1
三门峡市,"('Sanmenxia', 'Henan')",1
承德市,"('Chengde', 'Hebei')",1
株洲市,"('Zhuzhou', 'Hunan')",2
龙岩市,"('Longyan', 'Fujian')",5
凉山彝族自治州,"('Liangshan', 'Sichuan')",1
衢州市,"('Quzhou', 'Zhejiang')",4
莆田市,"('Putian', 'Fujian')",4
无锡市,"('Wuxi', 'Jiangsu')",5
萍乡市,"('Pingxiang', 'Jiangxi')",3
临汾市,"('Linfen', 'Shanxi')",1
陇南市,"('Longnan', 'Gansu')",2
朝阳市,"('Chaoyang', 'Liaoning')",2
齐齐哈尔市,"('Qiqihar', 'Heilongjiang')",7
银川市,"('Yinchuan', 'Ningxia')",4
内江市,"('Neijiang', 'Sichuan')",1
淮南市,"('Huainan', 'Anhui')",5
亳州市,"('Bozhou', 'Anhui')",23
大庆市,"('Daqing', 'Heilongjiang')",5
包头市,"('Baotou', 'Inner Mongolia')",10
三明市,"('Sanming', 'Fujian')",1
南平市,"('Nanping', 'Fujian')",8
东莞市,"('Dongguan', 'Guangdong')",13
潍坊市,"('Weifang', 'Shandong')",3
菏泽市,"('Heze', 'Shandong')",3
郑州市,"('Zhengzhou', 'Henan')",10
许昌市,"('Xuchang', 'Henan')",4
三亚市,"('Sanya', 'Hainan')",3
庆阳市,"('Qingyang', 'Gansu')",3
吕梁市,"('Lüliang', 'Shanxi')",2
十堰市,"('Shiyan', 'Hubei')",3
咸宁市,"('Xianning', 'Hubei')",1
荆门市,"('Jingmen', 'Hubei')",1
上饶市,"('Shangrao', 'Jiangxi')",4
鹰潭市,"('Yingtan', 'Jiangxi')",1
宿迁市,"('Suqian', 'Jiangsu')",7
驻马店市,"('Zhumadian', 'Henan')",2
铜川市,"('Tongchuan', 'Shaanxi')",1
济宁市,"('Jining', 'Shandong')",3
东营市,"('Dongying', 'Shandong')",1
鄂州市,"('Ezhou', 'Hubei')",1
天津市,"('Tianjin', 'Tianjin')",1
岳阳市,"('Yueyang', 'Hunan')",6
商丘市,"('Shangqiu', 'Henan')",2
马鞍山市,"(""Ma'anshan"", 'Anhui')",3
池州市,"('Chizhou', 'Anhui')",2
六安市,"(""Lu'an"", 'Anhui')",9
蚌埠市,"('Bengbu', 'Anhui')",6
铜陵市,"('Tongling', 'Anhui')",2
滁州市,"('Chuzhou', 'Anhui')",4
宁德市,"('Ningde', 'Fujian')",5
漳州市,"('Zhangzhou', 'Fujian')",8
贵港市,"('Guigang', 'Guangxi')",1
防城港市,"('Fangchenggang', 'Guangxi')",1
贺州市,"('Hezhou', 'Guangxi')",1
伊春市,"('Yichun', 'Heilongjiang')",1
阜新市,"('Fuxin', 'Liaoning')",2
延边朝鲜族自治州,"('Yanbian', 'Jilin')",1
定西市,"('Dingxi', 'Gansu')",2
昌吉回族自治州,"('Changji', 'Xinjiang')",1
枣庄市,"('Zaozhuang', 'Shandong')",2
香港特别行政区,"('HongKong', 'Hongkong')",7
阳江市,"('Yangjiang', 'Guangdong')",1
德宏傣族景颇族自治州,"('Dehong', 'Yunnan')",1
湘西土家族苗族自治州,"('Xiangxi', 'Hunan')",1
辽阳市,"('Liaoyang', 'Liaoning')",2
铁岭市,"('Tieling', 'Liaoning')",2
呼伦贝尔市,"('Hulunbuir', 'Inner Mongolia')",1
邵阳市,"('Shaoyang', 'Hunan')",2
北海市,"('Beihai', 'Guangxi')",1
揭阳市,"('Jieyang', 'Guangdong')",1
天水市,"('Tianshui', 'Gansu')",1
黑河市,"('Heihe', 'Heilongjiang')",1
楚雄彝族自治州,"('Chuxiong', 'Yunnan')",1
盘锦市,"('Panjin', 'Liaoning')",1
辽源市,"('Liaoyuan', 'Jilin')",1
乌兰察布市,"('Ulanqab', 'Inner Mongolia')",1
威海市,"('Weihai', 'Shandong')",2
四平市,"('Siping', 'Jilin')",1
七台河市,"('Qitaihe', 'Heilongjiang')",1
武威市,"('Wuwei', 'Gansu')",1
澳门特别行政区,"('Macao', 'Macao')",1
抚州市,"('Fuzhou', 'Jiangxi')",1
抚顺市,"('Fushun', 'Liaoning')",2
固原市,"('Guyuan', 'Ningxia')",1
张家界市,"('Zhangjiajie', 'Hunan')",1
喀什地区,"('Kashgar', 'Xinjiang')",1
湘潭市,"('Xiangtan', 'Hunan')",1
大兴安岭地区,"('Daxing', 'Heilongjiang')",1
商洛市,"('Shangluo', 'Shaanxi')",1
雅安市,"(""Ya'an"", 'Sichuan')",2
