,city,"Population at Year-end (10,000 persons)",Natural growth rate (‰),"Number of employees at the end of the year (10,000 Persons)","Number of the registered unemployed at the end of year (10,000 Persons)",Average annual salary per urban employee (Yuan),"Number of average employees on site (10,000 persons)",Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GDP,"Total retail sales of social consumer goods (10,000 Yuan)","Government expenditure on Science (10,000 yuan)","Government expenditure on Education (10,000 yuan)",Number of secondary schools,Number of theaters,Number of collections of public library (/100 people),Number of persons joining urban basic medical care system,Persons covered of unemployment insurance,"Population (registered residence population) at the end of the year (10,000)","Number of male population (registered residence population) at the end of the year (10,000)","Number of female population (registered residence population) at the end of the year (10,000)"
11,衡水市,453.97200000000004,5.244,26.75756,23365.8,54589.75,24.29,513.0799999999999,30919.0,45.5225,40.932500000000005,6759078.8,22036.6,492877.6,173.0,4.0,13.925,412496.8,186199.2,453.2866666666667,,
12,太原市,370.618,6.132,105.07298,49620.4,67209.11799999999,101.02000000000001,527.1500000000001,71309.6,37.61749999999999,61.07,16473854.4,157688.0,677899.4,223.4,24.0,177.58499999999998,2067293.2,905924.0,369.0225,,
13,大同市,321.884,4.174,40.4315,49840.0,58768.295999999995,37.886,231.09,32038.0,39.82000000000001,54.682500000000005,6145312.0,14721.8,510122.8,210.6,9.0,21.02,922556.0,451652.2,322.855,,
14,长治市,338.40999999999997,4.454,43.16931999999999,13903.8,53584.846,41.354,243.3,40343.0,53.6425,41.87,5680731.0,21001.8,464533.8,210.6,10.0,50.465,675447.4,413669.8,338.2625,,
15,晋城市,220.06800000000004,2.886,36.31388,5883.8,59126.366,34.082,232.32,48502.8,55.035,40.629999999999995,3907987.0,16053.2,344688.2,157.6,13.0,20.335,451470.8,304518.2,219.835,,
16,朔州市,165.382,5.9719999999999995,19.183199999999996,5733.0,57099.630000000005,17.868000000000002,158.39499999999998,55172.8,45.120000000000005,48.9225,2729128.0,7468.0,247070.8,90.2,7.0,40.254999999999995,238151.6,183274.4,165.9775,,
17,晋中市,331.632,5.603999999999999,35.20948,11608.6,56113.183999999994,31.368000000000002,201.47,35339.6,45.43,45.11,5693588.8,20157.2,481955.8,227.4,13.0,40.065,617246.0,320907.4,331.04,,
18,吕梁市,391.036,5.296,35.415859999999995,11836.75,57637.788,32.698,183.085,30066.0,59.06999999999999,35.565,4377060.4,17074.6,619836.0,290.0,8.0,28.85,436189.8,320865.0,390.295,,
19,临汾市,431.918,6.397999999999999,36.82062,18463.8,51662.988,33.976,212.08,28500.6,48.8275,43.64,6133139.8,12284.2,502196.2,279.8,27.0,35.519999999999996,669201.0,350051.8,431.6475,,
20,运城市,518.48,4.226,35.72108,13665.666666666666,50313.704,32.989999999999995,364.985,24338.8,38.0,45.9375,7074106.4,17266.4,582884.2,315.4,14.0,28.115000000000002,359066.6666666667,340324.2,519.85,,
21,呼伦贝尔市,260.04,0.966,37.43714,28127.0,58261.67,36.63,10.385,59238.0,40.9875,41.385000000000005,5946195.4,28748.6,476235.6,138.6,30.0,61.915,711396.4,272695.6,261.05,129.5712,123.2868
22,通辽市,317.954,1.2040000000000002,27.6596,17673.0,57060.128000000004,27.35,49.69,56125.0,45.9175,38.379999999999995,5069688.4,14738.6,506107.2,137.6,5.0,31.8,497261.6,182221.4,318.4425,158.57786000000002,154.05214
23,鄂尔多斯市,159.064,9.547999999999998,31.531219999999998,21281.6,76795.44,29.738,18.04,201072.25,55.7325,41.677499999999995,6953844.4,27999.2,586922.0,67.8,15.0,142.92000000000002,433496.8,212849.6,158.32999999999998,115.248,90.4
24,巴彦淖尔市,175.26,4.168,14.8904,13314.6,56649.909999999996,14.264,26.91,51886.25,48.6475,31.845,2054762.8,7215.4,272682.6,49.0,5.0,39.155,302911.8,102285.2,175.575,88.46422,79.68177999999999
25,呼和浩特市,241.296,5.08,41.432159999999996,39979.4,58970.18200000001,41.9,138.74,98429.25,28.21,67.8625,14426239.8,34856.2,490604.2,108.0,14.0,92.07000000000001,732720.6,491499.4,240.12,157.11838,151.28361999999998
26,包头市,223.91199999999998,2.146,38.11746,52894.8,64952.382000000005,36.29,80.61500000000001,125332.25,46.4675,50.775,13717690.2,50262.4,502135.4,94.2,17.0,99.08000000000001,898551.4,426292.0,223.89,146.4959,138.5521
27,赤峰市,462.08600000000007,2.708,32.83844,27223.6,61084.15800000001,32.312,51.585,41333.25,43.379999999999995,40.3275,6987373.2,15432.6,820398.4,147.8,13.0,39.01,670629.4,266336.4,462.8575,220.80176,210.10023999999999
28,沈阳市,735.642,-0.32600000000000007,133.7951,100109.4,68421.718,124.27000000000001,567.9749999999999,77192.6,43.5525,51.8925,38960623.2,213373.2,1139579.2,297.6,49.0,166.695,9764105.6,1408265.4,735.54,363.29999999999995,372.136
29,大连市,594.7719999999999,0.8859999999999999,107.72952000000001,83017.0,75247.886,101.55799999999999,472.515,105534.8,43.932500000000005,50.02,33857207.0,259410.2,1087217.6,289.4,6.0,265.935,4149643.0,1484521.4,594.794,295.56,299.168
30,鞍山市,345.25,-1.9259999999999997,48.839639999999996,31391.2,47997.686,47.001999999999995,375.04,54223.0,43.7175,50.355,9513605.0,20849.6,332286.6,162.2,11.0,74.16499999999999,1057511.2,563252.2,345.206,173.55999999999997,171.572
31,抚顺市,213.63199999999998,-3.6420000000000003,25.68336,23991.2,53730.454000000005,25.375999999999998,192.235,51681.2,52.089999999999996,41.074999999999996,6376771.4,10514.8,184520.4,104.6,9.0,49.010000000000005,1089177.2,489126.0,213.54399999999995,106.28,107.24600000000001
32,营口市,232.38400000000001,0.19399999999999995,25.0961,17816.2,48522.14,25.432,444.765,55980.8,45.8625,46.215,5044082.6,6392.4,225766.6,100.6,11.0,58.675,825598.8,237782.8,232.43,117.53999999999999,114.838
33,阜新市,188.094,-3.7359999999999998,17.3449,18624.6,49514.562,16.18,183.49,26954.8,34.4125,43.78,2817289.6,3238.0,215487.8,94.6,3.0,25.165,624811.2,197361.2,188.13400000000001,93.42,94.71199999999999
34,辽阳市,177.972,-1.9439999999999997,17.065340000000003,14904.2,55993.888,17.028,376.8,46964.2,50.995000000000005,40.660000000000004,3315450.4,9480.0,180822.0,78.4,9.0,48.58,647965.8,227839.6,177.958,89.66,88.218
35,铁岭市,297.67600000000004,-5.616,22.76504,19568.4,45389.123999999996,22.18,231.825,25725.2,34.4625,40.962500000000006,4252859.0,12605.2,290208.4,122.8,7.0,22.54,536405.4,255568.2,297.53599999999994,150.46,146.32000000000002
36,朝阳市,338.9,1.1640000000000001,25.24344,20518.4,48914.588,24.742,173.02,28128.8,31.467499999999998,45.1125,4372105.6,6750.4,345856.6,166.2,8.0,25.57,564739.8,239329.8,338.98,173.66,165.352
37,盘锦市,129.748,1.7959999999999998,44.40014,16706.2,44382.456,42.57,318.865,81672.0,51.587500000000006,38.807500000000005,3707372.4,12012.0,184166.2,71.8,3.0,49.105000000000004,659538.6,346339.8,129.654,64.72,64.93599999999999
38,葫芦岛市,278.76,-0.724,22.35254,25064.8,50993.956,20.8,269.195,28342.8,40.62,44.445,4642072.6,9471.0,293291.2,130.6,16.0,12.14,636351.2,240055.4,278.84,142.79999999999998,136.13400000000001
39,长春市,752.2860000000001,1.5319999999999996,124.52169999999998,72997.8,68364.798,120.71,366.26,79828.0,50.28,44.214999999999996,26406902.080000002,102677.6,1093918.0,338.4,35.0,87.96000000000001,2106783.4,961682.6,752.2860000000001,377.95,374.456
40,吉林市,420.988,-2.184,38.73136,34894.4,54901.29,38.751999999999995,154.02499999999998,55723.5,42.480000000000004,48.17,13717451.0,35692.2,572892.6,180.8,4.0,52.435,1230557.6,424280.4,420.988,211.61399999999998,209.43
41,四平市,323.502,-1.014,19.095639999999996,13128.2,50347.452000000005,18.330000000000002,229.85,35225.5,39.167500000000004,36.6325,5791521.2,6266.0,390072.6,164.2,2.0,20.634999999999998,721311.6,215360.8,323.502,163.89600000000002,159.846
42,辽源市,119.52000000000001,-2.5620000000000003,12.116119999999999,11905.2,47736.002,11.616,236.185,58165.75,55.4375,36.95,2201803.2,5222.6,170578.6,62.0,2.0,31.895000000000003,333416.0,74945.2,119.52000000000001,60.676,58.839999999999996
43,白城市,193.69400000000002,-2.582,20.24986,13573.4,43700.971999999994,18.696,76.515,34474.5,42.385,40.4625,3243537.6,9590.2,288996.6,121.0,4.0,25.759999999999998,431635.4,130031.4,193.69400000000002,97.61999999999999,96.128
44,哈尔滨市,963.534,-1.15,129.80293999999998,92897.8,62371.02,122.426,183.51,59926.2,30.9225,58.305,36758923.0,94937.2,1202242.0,456.4,80.0,82.49000000000001,2531029.4,1038690.4,963.432,483.08000000000004,480.36266000000006
45,齐齐哈尔市,542.118,-2.56,38.2774,114191.0,50875.0625,34.468,129.77,25142.6,30.18,46.394999999999996,7307791.6,12036.6,602670.8,244.6,17.0,31.7,1168887.8,287548.2,541.994,273.946,268.15052000000003
46,鹤岗市,103.522,-4.046,18.72024,16656.8,47383.93,12.059999999999999,72.61,26185.6,30.925,35.25,1265913.2,3661.8,132103.6,38.6,3.0,40.69,232863.0,83364.8,103.41199999999999,51.617999999999995,51.724180000000004
47,七台河市,81.662,-2.0479999999999996,10.0893,8840.8,48290.96,9.762,137.615,27462.0,38.465,47.11,1000963.0,1811.6,83776.8,45.0,3.0,27.7,208099.2,99408.0,81.52199999999999,41.584,39.97178
