,city,"Population at Year-end (10,000 persons)",Natural growth rate (‰),"Number of employees at the end of the year (10,000 Persons)","Number of the registered unemployed at the end of year (10,000 Persons)",Average annual salary per urban employee (Yuan),"Number of average employees on site (10,000 persons)",Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GDP,"Total retail sales of social consumer goods (10,000 Yuan)","Government expenditure on Science (10,000 yuan)","Government expenditure on Education (10,000 yuan)",Number of secondary schools,Number of theaters,Number of collections of public library (/100 people),Number of persons joining urban basic medical care system,Persons covered of unemployment insurance,"Population (registered residence population) at the end of the year (10,000)","Number of male population (registered residence population) at the end of the year (10,000)","Number of female population (registered residence population) at the end of the year (10,000)"
104,萍乡市,199.308,10.526,19.467959999999998,16132.2,55388.2,18.32,517.125,49659.25,54.2925,39.400000000000006,3343349.4,46541.4,300950.8,106.2,11.0,50.16,505740.6,155486.8,196.47104,96.62628,94.64296
105,九江市,518.538,11.329999999999998,44.010419999999996,16100.2,57131.85600000001,40.538,265.04999999999995,43803.5,52.7725,39.8875,6483532.8,70042.4,855116.8,281.6,20.0,40.144999999999996,827609.6,347696.2,505.34046,246.661,238.34764000000004
106,新余市,123.36399999999999,9.395999999999997,13.571019999999999,13412.2,56670.159999999996,12.912,387.505,83605.25,53.809999999999995,40.3225,2377507.8,24408.2,206684.6,39.6,2.0,52.615,291559.0,111225.8,121.3126,60.79968,56.573040000000006
107,鹰潭市,127.83200000000002,9.922,15.1846,9534.6,60322.833999999995,14.774000000000001,356.6,59659.5,58.6475,33.845,1912822.4,38228.6,191501.0,84.0,6.0,34.975,181332.4,84744.2,123.28226000000002,60.23560000000001,55.81796000000001
108,赣州市,968.1659999999999,13.992,56.365019999999994,32176.4,55578.10400000001,53.260000000000005,243.01999999999998,25761.5,43.5075,42.1,7834650.8,135450.4,1405372.6,467.4,26.0,35.230000000000004,949138.6,363262.2,923.4297200000001,438.28534,420.84222
109,宜春市,600.318,11.776000000000002,45.0597,26700.6,50136.964,42.298,319.41999999999996,32172.25,48.94,36.7775,5855514.8,124708.6,845132.8,246.2,40.0,27.25,887833.0,264089.0,581.45782,285.40988000000004,267.884
110,上饶市,780.3,11.469999999999999,43.52288,29175.6,54197.45,39.122,339.40999999999997,26851.25,48.0625,39.005,7096149.0,58842.8,988103.0,413.4,20.0,23.815,750064.2,298740.8,737.7815,347.13983999999994,327.83610000000004
111,抚州市,418.15599999999995,13.336000000000002,36.67338,20545.6,54440.448,33.866,219.82999999999998,29584.75,47.765,36.25750000000001,4743818.8,63517.6,589815.2,213.6,24.0,33.510000000000005,508979.6,207733.6,407.11978,207.20250000000001,193.96542
112,青岛市,795.138,6.65,147.29292,75743.2,76511.364,140.07999999999998,692.98,111224.8,42.50750000000001,53.77499999999999,41127630.6,326948.8,2382124.4,304.0,43.0,75.89500000000001,3425287.25,1992442.4,795.152,394.47799999999995,400.752
113,济南市,636.066,7.979999999999999,134.28816,33052.4,76925.51999999999,121.248,779.955,92709.44200000001,37.315,58.095000000000006,37626693.0,133759.4,1273702.8,227.2,30.0,187.14499999999998,2401133.6,1392758.2,635.97,315.6482,320.288
114,淄博市,431.32,4.994,84.07082,31893.2,61657.678,80.306,719.21,96128.4,53.575,43.105,20717392.0,99135.4,901451.8,185.6,8.0,55.56,1669717.8,804661.4,431.338,214.75600000000003,216.67400000000004
115,枣庄市,412.6139999999999,10.386,43.88376,20194.2,54483.662,42.29600000000001,886.645,55918.0,52.2575,40.455,8713565.6,19482.6,484884.8,126.6,8.0,33.635,733678.6,427352.6,412.53599999999994,216.842,195.74399999999997
116,烟台市,653.9359999999999,0.828,102.72409999999999,53438.0,64113.34199999999,100.692,471.56,98032.8,50.89999999999999,42.2975,28849524.8,223825.6,1194404.2,259.4,26.0,104.11500000000001,2311179.8,1101512.6,653.9559999999999,325.992,328.048
117,潍坊市,901.0020000000001,7.544,85.97424,39056.8,61677.46,81.238,552.04,59039.8,47.9225,43.212500000000006,24586135.8,167194.0,1631265.2,328.8,38.0,171.73499999999999,2080561.6,944842.2,901.034,454.854,446.246
118,济宁市,875.508,12.596,85.80462,31691.2,57988.704000000005,76.886,763.4649999999999,52161.2,46.7375,42.309999999999995,20519699.0,76950.4,1229517.2,290.6,19.0,21.105,1875839.8,813202.6,875.4959999999999,451.82199999999995,423.62
119,临沂市,1144.048,16.758,90.10544000000002,24811.0,59356.15800000001,82.88199999999999,650.6949999999999,39250.4,44.285,46.8375,23001310.8,51248.2,1332191.6,336.6,7.0,31.305,1312147.4,605701.6,1143.9859999999999,592.6479999999999,551.3100000000001
120,聊城市,630.48,16.854000000000003,46.75152,25183.6,54200.02,44.422000000000004,686.85,47318.0,50.375,38.21,11606155.8,20488.0,681470.6,205.8,14.0,56.735,816375.2,341868.8,630.358,324.14,306.13800000000003
121,菏泽市,1010.5319999999999,16.384,51.17397999999999,17561.8,50256.172,48.796,816.655,30488.4,52.160000000000004,36.910000000000004,15064289.2,27208.8,889966.6,377.6,23.0,13.07,1029356.6,369063.6,1010.5619999999999,527.7860000000001,482.684
122,德州市,591.2940000000001,10.532,54.43084,18867.6,53556.848,52.148,564.875,51406.6,48.805,41.115,13663594.0,73139.8,640311.4,189.8,14.0,24.595,1718121.0,370285.8,591.3320000000001,299.878,291.448
123,滨州市,391.754,8.466000000000001,48.9537,12219.4,59159.094,47.426,401.475,63712.8,47.56999999999999,43.24,8823882.4,73383.8,585528.6,166.8,16.0,33.07,1094196.2,410036.0,391.744,197.702,194.064
124,东营市,192.94400000000002,9.894,42.442099999999996,11774.8,73561.942,40.81,230.55,172369.6,63.90500000000001,32.637499999999996,7830615.4,44213.8,503319.6,95.6,20.0,113.15,950668.0,283676.8,192.88000000000002,96.264,96.58
125,威海市,255.70999999999998,-0.06600000000000004,56.296260000000004,9081.8,57822.195999999996,55.568000000000005,439.66499999999996,114754.2,46.3675,46.25,14047698.0,124913.6,733440.4,104.0,15.0,127.14999999999999,1244592.6,567745.6,255.56199999999998,127.04399999999998,128.476
126,郑州市,856.258,11.142,198.45536,56971.8,63068.206000000006,180.432,1173.65,85884.99,47.855,50.239999999999995,36398920.8,248416.4,1632847.2,429.2,14.0,71.41499999999999,1553526.0,1766589.8,854.3225,,
127,开封市,557.1279999999999,9.652000000000001,48.237579999999994,22409.8,47404.486,41.28,872.665,38367.564,41.480000000000004,41.815000000000005,8034305.8,31698.6,514000.2,272.8,9.0,27.285,643531.6,283631.4,556.41,,
128,洛阳市,727.73,8.64,72.85206000000001,54064.0,53226.240000000005,67.224,467.39,57641.64399999999,47.8425,45.8775,18044070.2,118515.0,934105.4,417.4,6.0,28.54,1325068.0,636994.0,724.6625,,
129,平顶山市,564.8779999999999,9.578,54.32451999999999,21895.4,49890.082,51.68399999999999,709.925,37250.844,50.6725,40.027499999999996,7638708.0,33950.8,556672.0,250.8,8.0,24.83,1052134.0,461794.4,563.5975,,
130,安阳市,621.17,8.346,56.09384,28951.0,47633.153999999995,49.912,835.395,40387.424,49.225,40.545,7493912.6,42486.8,637512.4,304.0,22.0,19.92,718022.2,422854.4,619.7125,,
131,濮阳市,430.70200000000006,8.874,39.68084,15885.4,47735.984,35.632,1018.9499999999999,40215.67,54.955,33.707499999999996,5247282.0,22300.8,492347.6,208.8,5.0,14.07,371600.0,305414.0,429.6275,,
132,新乡市,643.388,7.448,64.06108,41261.8,45938.114,56.21,731.325,38101.156,50.9425,38.4625,8539095.6,60570.8,687555.6,392.0,10.0,20.275,947992.4,460300.2,640.235,,
133,焦作市,371.856,7.897999999999999,48.6897,27726.8,47738.702000000005,44.742000000000004,910.855,59339.002,59.355000000000004,33.9925,6909048.6,36926.2,383195.8,214.0,12.0,30.57,614606.4,356000.6,371.57,,
134,许昌市,506.31399999999996,5.942,46.14054,30766.6,49198.479999999996,44.174,1007.255,55412.469999999994,59.084999999999994,33.7325,7770855.8,42599.6,561719.0,236.2,6.0,21.060000000000002,538172.2,278020.0,505.6425,,
135,三门峡市,228.01400000000004,5.302,25.10564,8138.0,51438.968,23.869999999999997,217.13,60221.002,58.0625,33.0475,4432802.6,26938.0,384796.8,126.2,6.0,61.489999999999995,376058.8,232630.4,228.2675,,
136,南阳市,1200.58,5.798,90.2687,34235.8,48209.216,83.644,447.095,31017.656,43.980000000000004,39.457499999999996,17335775.4,76340.4,1124684.2,511.6,13.0,13.615,996611.8,629849.8,1191.225,,
137,商丘市,974.758,6.704000000000001,72.24422,26388.0,49148.482,63.86,892.495,27684.140000000003,41.97,38.464999999999996,9187161.8,37195.0,790568.6,440.4,11.0,11.43,699588.0,354180.4,968.6975,,
138,信阳市,903.8720000000001,7.537999999999999,60.59662000000001,7866.0,53907.39599999999,57.67999999999999,476.355,32069.2,39.715,37.84,9418628.8,21380.0,945086.8,379.8,9.0,11.44,733032.8,349653.2,901.84,,
139,周口市,1251.45,8.846,68.16380000000001,32289.8,46861.954,65.13,1037.0749999999998,26171.266,47.129999999999995,32.44500000000001,10942900.8,30697.4,991039.8,574.8,9.0,5.645,740161.0,383089.4,1249.5625,,
140,驻马店市,945.0959999999999,7.156000000000001,70.79764,11273.0,44879.35,61.45399999999999,613.7950000000001,28927.798,39.92,39.0575,8477558.8,45808.6,856626.0,349.6,14.0,17.32,635570.6,389141.0,940.37,,
141,武汉市,845.7139999999999,6.434,210.5112,103715.4,73263.696,195.108,966.455,112184.25,45.0125,51.86750000000001,56244679.8,917808.6,2175015.8,366.8,123.0,164.185,4562120.0,1989600.4,836.055,,
142,黄石市,269.41400000000004,11.466,31.377779999999994,21542.2,45391.358,46.272000000000006,581.65,54282.75,57.137499999999996,34.805,6556400.0,32694.0,344036.8,128.6,6.0,48.69,597527.2,278905.0,268.495,,
143,十堰市,346.788,6.806,65.91892,33155.2,46290.36,61.038,146.275,41836.0,48.9225,39.605000000000004,7292354.6,38822.0,469710.2,173.0,4.0,34.78,591575.4,267816.0,346.77500000000003,,
144,荆州市,646.138,5.426,41.42866,38111.6,48897.246,35.726,459.235,30300.25,43.6325,34.5575,10601868.4,74773.8,571534.8,227.8,15.0,18.225,1015340.6,330587.2,647.4275,,
145,鄂州市,110.69800000000001,8.966,21.841700000000003,5063.8,42221.318,21.058,690.655,75518.0,55.9325,32.825,3013055.2,23463.0,158776.0,49.2,2.0,37.19,164483.8,82470.4,110.565,,
146,荆门市,297.27799999999996,5.324,39.373819999999995,13978.0,43846.724,37.168,241.57,52397.5,52.3625,33.68,6136044.8,53887.6,311880.2,124.2,8.0,33.685,493539.6,189327.8,298.4525,,
147,孝感市,522.436,5.852,82.41756000000001,23525.6,42242.204,77.912,590.19,32237.75,48.457499999999996,34.22,8857776.2,83938.6,534879.2,222.6,9.0,17.125,560297.4,242568.2,523.5925,,
148,黄冈市,742.7639999999999,7.630000000000001,70.80149999999999,18386.2,40582.066000000006,69.276,425.45500000000004,26971.75,39.4625,38.102500000000006,9717425.0,75836.8,862437.8,301.0,28.0,25.52,663632.0,222251.6,743.285,,
149,咸宁市,301.982,13.026,22.563180000000003,10894.4,41702.183999999994,34.160000000000004,305.845,44421.5,48.57750000000001,35.04,4517525.4,36493.8,340961.0,145.6,2.0,30.65,367345.2,141565.6,301.23,,
150,长沙市,697.152,7.011999999999999,125.19117999999999,41832.8,77074.93000000001,116.824,571.855,123075.0,48.925,47.355000000000004,40565572.4,273500.8,1598412.2,306.6,16.0,115.96000000000001,2154992.6,1312678.6,689.19,388.00800000000004,381.21799999999996
151,株洲市,401.804,5.267999999999999,44.41406,20233.0,61498.922,40.696000000000005,354.455,60775.6,53.287499999999994,39.1175,9258819.0,96544.0,503678.2,196.2,16.0,36.364999999999995,840151.4,373015.6,401.505,204.94400000000002,195.456
152,湘潭市,289.558,3.928,41.678399999999996,21075.6,56403.96799999999,27.603999999999996,579.585,65686.8,53.0775,39.355,5731731.2,54318.8,327061.6,169.0,10.0,46.489999999999995,580541.2,325770.4,289.6975,144.912,138.918
153,衡阳市,798.154,4.748,52.46464000000001,43627.0,50836.326,47.992000000000004,519.6700000000001,37995.2,41.622499999999995,44.287499999999994,11036385.2,27774.6,812889.2,435.4,5.0,24.205,1446738.8,608382.8,797.4425,377.784,349.726
154,邵阳市,824.874,6.166,37.72166,21673.6,52678.659999999996,32.144,393.655,20793.4,36.37,43.3625,8311438.6,20678.8,767878.8,463.6,9.0,17.755000000000003,705126.4,307064.2,824.0925,380.902,350.068
155,岳阳市,566.938,6.526000000000001,46.322860000000006,36587.2,50078.226,39.714,379.35,53590.2,48.285,41.135000000000005,11291229.0,52880.6,586714.2,301.2,28.0,22.275,838274.6,373402.4,566.4225,294.438,274.27799999999996
156,常德市,607.976,2.13,42.18300000000001,27824.4,54509.66799999999,38.95,321.96000000000004,50272.8,43.44,44.115,10511114.2,41386.8,631594.2,285.4,29.0,25.405,560036.4,300712.6,608.72,296.00600000000003,287.816
157,张家界市,170.61399999999998,2.112,8.749179999999999,5264.8,57319.009999999995,7.75,179.76,32333.0,21.5075,67.3025,1964028.6,5258.6,205436.2,93.6,8.0,12.65,128167.8,102084.4,170.76749999999998,77.87400000000001,74.958
158,益阳市,481.004,3.4839999999999995,26.73662,16155.8,55091.826,22.55,391.32000000000005,33915.0,40.995000000000005,41.6875,6191204.8,25272.8,490233.4,224.0,6.0,23.36,495546.4,216118.6,481.755,226.324,214.47599999999997
159,永州市,639.636,5.0200000000000005,32.64028,23506.6,51380.628000000004,29.896000000000004,284.355,28499.0,35.69499999999999,44.1325,5827110.2,31422.4,700509.6,324.0,6.0,23.07,676503.0,293078.4,638.295,283.72799999999995,260.54799999999994
160,郴州市,530.2139999999999,4.182,36.029939999999996,35349.8,54325.598,32.394,268.445,45197.6,52.127500000000005,38.475,8946444.6,52307.4,685560.4,287.6,6.0,25.345,720630.8,295810.2,529.0174999999999,245.618,226.68800000000002
161,娄底市,450.91999999999996,7.5040000000000004,29.434360000000005,23391.8,50108.032,27.256,550.2049999999999,35281.0,49.36749999999999,37.21,4832524.8,13352.4,440051.4,283.8,4.0,21.005,505794.2,330736.0,449.9,202.978,186.37800000000001
162,怀化市,522.506,4.606,26.33188,42752.4,55104.576,23.688,187.99,27551.6,38.55,47.5075,5603140.2,28770.0,639704.0,358.0,5.0,31.57,561108.8,297304.4,522.1324999999999,255.64600000000002,236.978
163,广州市,878.518,11.751999999999999,329.95214000000004,224317.0,90992.826,314.98,1140.99,142553.6,30.45,68.36,84995351.0,1185734.0,3366507.0,513.8,53.0,245.04500000000002,7470691.4,5134894.6,878.43,440.54200000000003,437.99000000000007
164,深圳市,392.438,21.199999999999996,464.99126000000007,41790.6,91233.076,451.878,1720.6100000000001,169600.6,41.1975,58.75,55119290.2,3238498.2,4255252.8,354.0,,922.3,11272512.0,10319678.2,403.086,210.17600000000002,201.814
165,珠海市,116.72999999999999,10.502,75.29487999999999,11126.6,74702.926,68.696,642.99,138143.8,49.4225,48.51,10067718.8,334424.6,619701.2,72.0,22.0,297.79999999999995,1487284.8,947774.0,116.78399999999999,59.08,57.66799999999999
166,汕头市,558.012,8.308,57.15583999999999,17064.6,50964.426,54.212,2574.625,37804.8,51.3575,43.6225,14986729.2,40500.6,737403.6,298.8,10.0,52.385,1346325.8,771636.0,558.184,280.29200000000003,277.94999999999993
167,佛山市,406.314,10.586,168.76548,22985.0,67535.086,166.828,1019.76,115564.4,59.6075,38.73,29463077.2,363089.6,1293391.6,198.6,55.0,102.67,3347465.2,2362231.4,406.228,200.85999999999999,205.406
168,韶关市,333.062,11.803999999999998,33.15428000000001,34288.0,61344.268,31.532,178.995,41217.2,37.0475,50.16,6361316.2,46427.8,481955.0,151.4,15.0,46.935,1018039.0,296934.2,333.03599999999994,172.07599999999996,161.038
169,河源市,370.142,14.576000000000002,27.6349,9196.4,56909.454000000005,26.78,233.57999999999998,28800.6,43.66749999999999,45.1,5339443.2,52094.8,523904.0,187.0,5.0,21.995,323621.5,289141.6,370.084,189.17,180.97599999999997
170,梅州市,544.278,12.256,29.37346,13808.4,59744.659999999996,28.038,338.54999999999995,23341.2,35.35,45.442499999999995,6158714.8,47096.8,706730.4,229.2,12.0,33.995,1250438.0,280391.6,544.358,279.994,264.454
171,惠州市,363.914,11.0,94.73727999999998,21173.6,65094.162,91.166,310.90999999999997,73423.2,54.515,40.7725,12219478.4,218797.6,991322.4,252.2,5.0,44.42,2115529.2,1271194.6,363.942,183.982,180.028
172,汕尾市,359.812,13.654,22.409160000000004,12862.4,53533.912,21.43,738.015,27203.0,45.2275,39.515,5289620.0,35186.2,408062.2,167.6,9.0,8.98,849818.8,200305.8,361.27599999999995,188.14000000000001,173.108
173,东莞市,206.08199999999997,10.330000000000002,237.41477999999998,12034.6,58005.102,236.612,785.345,83834.2,47.3025,52.36500000000001,24382527.0,292353.2,1391656.4,227.0,13.0,520.345,5883112.0,4073035.2,206.06199999999998,103.768,102.28
174,中山市,164.55599999999998,11.474,81.5153,10168.2,63842.998,80.304,883.02,99695.86,52.7275,45.1725,12150101.6,284913.2,677500.4,102.4,25.0,102.86500000000001,2016197.4,1460786.8,164.634,81.304,83.37
175,江门市,394.762,5.806,59.755320000000005,55262.2,60223.59199999999,56.48,412.62,54327.2,48.400000000000006,43.945,11608270.8,93810.4,677403.8,188.0,1.0,57.474999999999994,1351166.5,787902.8,394.818,198.712,196.09
176,阳江市,294.904,14.748,23.23068,12602.8,55147.314,21.844,365.405,50390.4,42.1275,41.27,6380205.4,19149.4,312340.8,109.4,9.0,28.7,687975.0,194338.0,294.896,156.464,138.448
177,湛江市,832.792,9.696000000000002,51.87898,21078.2,56681.424,47.88,619.11,35916.0,38.0,43.2225,14358768.8,30416.4,943902.6,309.4,23.0,19.47,1950961.0,402777.6,832.784,443.15199999999993,389.596
178,茂名市,794.448,15.886000000000001,46.54028,22789.333333333332,57495.045999999995,43.21,681.825,43801.6,40.2475,43.80499999999999,13293047.4,16155.0,1011427.4,261.6,2.0,17.89,1603049.2,269604.2,794.324,425.11,369.18
179,清远市,428.562,14.725999999999999,32.94404,13859.2,66144.80600000001,31.565999999999995,218.34,35923.2,37.605000000000004,47.419999999999995,6282547.2,39949.6,622373.8,178.2,9.0,24.83,1280526.0,378647.2,428.52,222.32399999999998,206.20999999999998
180,潮州市,273.52,10.126,19.4006,8339.8,54495.982,18.958000000000002,861.0799999999999,36134.4,52.022499999999994,40.839999999999996,4927519.8,16361.6,339595.6,138.8,7.0,23.435000000000002,784077.4,331077.4,273.378,138.458,134.91400000000002
181,揭阳市,700.176,13.796000000000001,38.49203999999999,9230.4,48421.659999999996,37.538,1332.21,32376.4,57.292500000000004,34.0225,9618475.2,22210.0,660427.6,287.0,5.0,14.825,1419592.0,230372.0,700.308,359.07,341.23999999999995
182,南宁市,749.9860000000001,7.824000000000001,97.82208,29169.6,69714.456,86.796,330.41999999999996,51788.2,37.042500000000004,52.019999999999996,19605589.6,65054.0,1024527.2,347.6,21.0,106.13,1139221.6,518668.4,749.9231200000002,391.75025999999997,358.11086
183,柳州市,384.504,9.117999999999999,59.822720000000004,27086.2,60628.71799999999,48.426,204.32,64793.4,55.9125,37.06,10539319.0,39862.0,649096.6,156.0,6.0,51.254999999999995,975723.6,397170.0,384.51864,198.94588000000002,185.51276000000001
184,桂林市,532.2940000000001,8.704,42.2968,24108.2,59729.502,37.977999999999994,189.63,39594.4,42.342499999999994,39.5625,8389890.6,33388.0,684093.2,214.0,25.0,98.25,759640.6,323459.8,532.33908,276.05774,256.27133999999995
185,梧州市,346.444,13.9,19.51406,11421.2,51949.254,17.892000000000003,271.79499999999996,36887.2,54.24,33.845,4039527.6,16674.2,450580.0,134.2,6.0,30.97,381705.4,139323.2,346.45404,184.18448,162.35755999999998
186,北海市,173.652,13.886000000000001,14.31486,7195.0,56024.045999999995,12.0,511.385,63478.0,50.725,31.902500000000003,2259307.0,26910.2,263864.0,89.4,7.0,37.43,226475.8,110516.6,173.77179999999998,91.2299,82.61128
187,防城港市,96.762,14.632,9.262080000000001,2964.6,57086.941999999995,7.424000000000001,152.485,71859.2,55.285000000000004,32.129999999999995,1127081.2,6997.2,146801.4,45.4,4.0,39.455,146657.2,67716.0,96.78420000000001,52.39807999999999,44.43812
188,钦州市,408.21999999999997,10.76,20.53954,9267.5,51570.085999999996,18.966,331.47,34018.8,41.265,37.8725,3730920.6,16276.8,450803.4,123.6,3.0,79.66499999999999,293927.6,90113.8,408.2786,222.9181,185.3865
189,贵港市,552.8280000000001,13.145999999999997,18.410140000000002,6317.0,55651.326,16.026,515.08,22593.2,40.985,39.802499999999995,4352902.0,7056.6,532114.6,220.4,9.0,15.805,299294.0,101827.8,552.82784,293.61986,259.17998
190,玉林市,718.546,12.628,32.25636,14681.4,53688.71,29.54,553.0,26686.8,41.3425,40.792500000000004,5849394.4,20960.8,776779.4,282.8,11.0,21.31,472617.6,165174.0,718.5296999999999,385.21668,333.37122
191,贺州市,242.17799999999997,14.012,10.303720000000002,7668.6,59597.308000000005,9.0,203.37,25402.4,39.8425,38.8475,1633156.6,11184.6,303133.6,104.6,5.0,27.9,184459.6,77300.6,242.06572,127.5577,114.40202000000002
192,百色市,416.238,9.714,21.84894,7121.2,55310.672,21.428,113.95,30739.8,51.705,31.4175,2487417.6,27737.6,633962.8,172.0,7.0,39.185,375918.25,126124.8,416.14356,216.66463999999996,199.52092000000002
193,河池市,427.288,11.501999999999999,18.90898,9669.6,58541.490000000005,16.482,126.19,19476.0,32.1475,45.6075,2733115.8,14181.4,561703.8,192.2,3.0,27.655,334676.0,124600.6,427.25158,222.42574,204.73384
194,来宾市,267.648,10.38,13.035480000000002,6829.4,56167.554000000004,11.028,198.485,27850.8,38.0975,37.5175,1632402.2,6536.8,305670.6,80.6,7.0,30.175,185023.0,80596.6,267.73656,140.59982,127.04274000000001
195,海口市,169.22,10.706,50.923880000000004,9653.0,63161.308000000005,49.230000000000004,719.96,57284.6,19.0025,76.145,6548753.6,16475.0,313380.0,105.4,9.0,77.47,485485.8,464948.4,169.15272,86.7822,82.37878
196,三亚市,58.876,11.25,13.17654,3423.2,66731.75,12.448,303.545,64710.4,20.3825,66.375,1973570.6,33978.2,191086.2,46.2,3.0,82.55000000000001,267505.0,203437.4,59.013059999999996,30.067680000000003,28.983119999999996
197,儋州市,96.0375,13.213333333333333,32.00715,1845.0,68096.75,3.66,282.85,30050.666666666668,12.683333333333335,44.69666666666666,805941.0,1565.25,157870.0,49.25,,12.48,122267.0,51500.75,,,
198,重庆市,3386.608,4.424,630.3365000000001,141446.0,68272.862,371.196,409.545,56001.5,44.045,48.735,70901432.2,526701.6,5777400.2,1141.2,12.0,37.74,11537283.0,4563488.6,3386.5,,1645.0
199,成都市,1349.75,3.7800000000000002,513.7295200000001,178279.5,74807.074,242.64600000000002,1006.0,80589.0,43.505,52.915000000000006,56725564.4,473814.6,2310793.2,560.6,9.0,170.615,6629575.0,3829080.0,1350.23,671.0,679.22
200,自贡市,326.29200000000003,1.0059999999999998,20.887739999999997,23520.6,63443.528000000006,16.46,749.8499999999999,43916.8,55.35,33.565,5510811.2,27994.2,315937.2,137.6,5.0,15.2,476977.2,135222.4,326.15200000000004,166.04,160.2
201,攀枝花市,110.112,3.902,28.160980000000002,14715.8,70265.962,18.613999999999997,150.575,83094.0,69.36,27.267500000000002,3124647.2,15538.8,245734.2,53.4,6.0,75.565,435011.6,195233.0,110.252,56.08,54.08
202,泸州市,508.51599999999996,3.732,36.00548,15560.6,58771.202000000005,32.760000000000005,414.71,34423.2,57.7625,30.15,6348489.6,32039.8,648006.2,218.8,8.0,25.265,578186.6,231815.2,508.3759999999999,262.88,245.56
203,德阳市,389.898,0.15399999999999997,32.0978,20155.4,67486.014,28.894,661.91,51360.6,54.59,33.0,6941960.0,25276.6,348180.6,147.4,11.0,42.2,824620.8,327477.4,389.798,198.35999999999999,191.38000000000002
204,绵阳市,542.4559999999999,2.282,51.29696,31865.8,64552.45,46.18,270.095,39613.4,47.42250000000001,37.7375,9815746.0,98077.8,554900.8,225.0,17.0,34.62,839255.4,323428.4,542.4159999999999,278.41999999999996,264.03999999999996
205,广元市,304.882,-0.23400000000000004,16.98218,16243.4,62476.628000000004,14.516,188.565,25642.0,46.5325,37.405,3338076.4,10589.8,373972.6,165.2,32.0,36.59,391963.8,148535.6,304.70200000000006,156.38,148.3
206,遂宁市,374.43,-1.3980000000000001,23.084300000000002,41381.2,56297.25800000001,17.278,713.235,31100.4,52.6275,32.004999999999995,4664396.4,9769.6,354143.4,162.8,15.0,29.974999999999998,888005.4,100515.6,374.45,193.54000000000002,180.9
207,内江市,418.68600000000004,0.8000000000000002,29.238440000000004,17763.6,47901.146,29.415999999999997,785.405,34235.4,55.445,28.802500000000002,4551487.4,14138.8,382991.8,179.0,9.0,13.32,497156.8,130850.2,418.66600000000005,215.42,203.22
208,乐山市,353.498,0.24250000000000016,26.426680000000005,24070.0,59557.6,24.424,278.92,43147.0,54.3475,34.825,6072343.0,15795.8,389372.8,206.4,1.0,18.965,673898.6,213461.2,353.378,180.06,173.26
209,南充市,740.6659999999999,0.46799999999999997,44.945460000000004,31100.2,55072.012,40.727999999999994,601.5150000000001,26422.0,46.629999999999995,32.295,7913816.2,15855.4,744528.6,497.0,3.0,19.04,794755.8,180078.0,740.7459999999999,386.82000000000005,353.98
210,宜宾市,553.876,3.95,36.312799999999996,29909.8,62293.2,33.462,416.805,37717.0,55.59,30.7075,7676760.8,27604.4,688398.8,283.0,10.0,22.785,599416.2,238629.2,554.016,287.94,266.06000000000006
211,广安市,466.61800000000005,3.2039999999999997,22.20376,10859.0,61552.95,14.652000000000001,740.1600000000001,33443.8,50.4725,33.82,4548701.2,7725.8,514445.6,273.8,9.0,38.17,339054.4,111135.0,466.578,244.14000000000001,222.5
212,达州市,678.58,3.9219999999999997,41.06416,17468.8,50767.418,37.642,413.28999999999996,26473.4,44.57749999999999,34.7125,7553714.4,15800.8,718028.6,385.2,13.0,20.375,528426.6,149907.4,678.4800000000001,356.08,322.32
213,资阳市,412.196,-1.1900000000000002,21.337880000000002,18450.4,54976.788,18.466,635.21,37771.2,53.28,28.697500000000005,3884932.2,14994.8,338048.4,242.0,7.0,24.78,378241.0,87939.2,412.196,214.76,197.34
214,眉山市,348.432,-1.298,19.944200000000002,14541.2,55930.116,24.458000000000002,491.615,37006.0,52.352500000000006,32.317499999999995,4311321.8,8761.0,358934.6,193.8,6.0,10.0,374528.0,132620.6,348.33200000000005,177.38000000000002,170.96
215,巴中市,376.32399999999996,4.444000000000001,31.127499999999998,15568.6,50750.534,18.652,310.38,16570.6,47.072500000000005,36.394999999999996,2823358.0,7071.0,451936.8,214.8,11.0,17.625,210954.8,96004.8,376.424,196.54000000000002,179.94
216,贵阳市,400.338,12.943999999999999,105.80434,34995.8,70087.69399999999,93.788,481.73,67747.0,38.3175,57.3875,11557682.2,171249.2,1008523.8,313.0,22.0,134.20499999999998,1327520.6,695853.8,400.4904,202.44799999999998,198.112
217,六盘水市,338.54,13.012,23.9539,16753.0,67427.276,20.362000000000002,333.53999999999996,45073.2,51.095,39.89,3097331.5,43747.2,580974.8,220.4,7.0,13.844999999999999,382331.6,160042.2,338.3615,178.24,160.102
218,遵义市,796.8375,10.524999999999999,42.942975,22946.333333333332,70065.9925,38.1,256.815,37094.0,44.97,39.76666666666667,6771125.75,53145.75,1115681.0,442.25,23.0,189.01000000000002,660400.25,318908.5,800.04952,417.04200000000003,382.98199999999997
219,安顺市,298.298,14.982,18.61692,8095.8,64949.71799999999,16.788,316.165,30071.8,33.542500000000004,49.3475,1695975.0,22231.0,433299.6,143.4,4.0,17.7,254678.4,103522.6,298.29478,154.37599999999998,143.91199999999998
